# state, totalWorkers, totalDevelopers, region
ALABAMA,2292653,32957,1
ALASKA,422404,2749,4
ARIZONA,3291556,58063,6
ARKANSAS,1419899,18849,3
CALIFORNIA,19928185,514258,1
COLORADO,3091017,90548,2
CONNECTICUT,1987954,41708,5
DELAWARE,498732,12973,3
DISTRICT OF COLUMBIA,414197,13881,3
FLORIDA,9902707,148626,3
GEORGIA,5137644,105786,3
HAWAII,776908,8434,4
IDAHO,858200,12851,2
ILLINOIS,6814110,145339,7
INDIANA,3451803,42748,7
IOWA,1760302,27816,7
KANSAS,1605383,31012,7
KENTUCKY,2184858,25490,6
LOUISIANA,2261354,19773,6
MAINE,738472,7998,5
MARYLAND,3341841,107123,6
MASSACHUSETTS,3898211,116517,5
MICHIGAN,5056465,84190,7
MINNESOTA,3215546,77125,7
MISSISSIPPI,1351418,8795,6
MISSOURI,3204308,62938,7
MONTANA,560430,4138,2
NEBRASKA,1089994,17212,7
NEVADA,1482766,17998,2
NEW HAMPSHIRE,787361,22090,5
NEW JERSEY,4792291,138970,5
NEW MEXICO,990639,12313,3
NEW YORK,10425481,178358,5
NORTH CAROLINA,5121123,100641,6
NORTH DAKOTA,451910,4463,7
OHIO,6142764,105506,7
OKLAHOMA,1960479,20866,3
OREGON,2127040,41969,1
PENNSYLVANIA,6799310,122733,5
RHODE ISLAND,586787,8109,5
SOUTH CAROLINA,2442974,31305,6
SOUTH DAKOTA,485754,5760,7
TENNESSEE,3351337,43801,6
TEXAS,14020718,267944,3
UTAH,1563660,36285,2
VERMONT,375328,4574,5
VIRGINIA,4625253,161608,6
WASHINGTON,3837659,123932,1
WEST VIRGINIA,841955,10401,6
WISCONSIN,3274587,56231,7
WYOMING,334903,1872,2
